                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1874,                0.67159,                 1.8073,                0.98004,                0.98704,                0.98781,                0.86175,                 1.1346,                0.50804,                 1.7821,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.1949,                0.67718,                 1.8264,                0.98908,                0.97854,                0.98731,                 0.8688,                 1.1362,                0.49531,                 1.7822,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.2048,                0.67377,                  1.815,                0.98286,                0.98882,                0.98761,                0.86352,                 1.1323,                 0.5088,                  1.777,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.2057,                0.65104,                  1.825,                0.99214,                0.98202,                0.98674,                0.86914,                 1.1151,                0.48477,                 1.7709,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.1816,                0.66087,                 1.8143,                0.98416,                0.98509,                0.98758,                0.87539,                 1.1059,                0.49145,                   1.77,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.1773,                0.65562,                 1.7998,                 0.9897,                0.98033,                0.98807,                0.87057,                 1.1343,                0.48793,                  1.778,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.1919,                0.64652,                 1.8056,                0.98514,                0.98366,                0.98739,                0.87863,                 1.1071,                  0.479,                 1.7731,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.1627,                0.64838,                 1.7935,                0.99187,                0.98025,                0.98804,                0.87802,                 1.0945,                0.47106,                 1.7708,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.1557,                0.62117,                 1.7842,                0.98434,                0.98002,                0.98794,                0.87112,                 1.1309,                0.49176,                 1.7757,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.1741,                0.64686,                 1.8044,                0.99223,                0.97342,                0.98932,                0.87028,                  1.109,                0.47614,                  1.768,             0.00036307,             0.00036307,             0.00036307
